2019-11-27 16:06:04.561 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.3724 ms
2019-11-27 16:06:04.573 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8535 ms
2019-11-27 16:06:06.501 +02:00 [INF] HTTP GET /Home/LogOutAsync responded 200 in 19.4326 ms
2019-11-27 16:06:06.515 +02:00 [INF] HTTP GET /Home/Privacy responded 302 in 0.2707 ms
2019-11-27 16:06:06.526 +02:00 [INF] HTTP GET /?ReturnUrl=%2FHome%2FPrivacy responded 200 in 1.2731 ms
2019-11-27 16:06:06.538 +02:00 [INF] HTTP GET /notification?id=C2Hh82DL1_rA0I3y-vbdYg responded 101 in 1978.0301 ms
2019-11-27 16:06:10.263 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 38.8196 ms
2019-11-27 16:06:10.351 +02:00 [INF] HTTP GET /notification?id=3xcI1cOlfhClNjgw3hBJrA responded 101 in 12113.9368 ms
2019-11-27 16:06:10.858 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5484 ms
2019-11-27 16:06:10.921 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.6597 ms
2019-11-27 16:06:10.973 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.0953 ms
2019-11-27 16:06:11.745 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Open responded 200 in 34.9413 ms
2019-11-27 16:06:11.755 +02:00 [INF] HTTP GET /notification?id=VWbUk6f0-wTJwqmN67EYzg responded 101 in 850.3648 ms
2019-11-27 16:06:12.110 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.0068 ms
2019-11-27 16:06:12.168 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.6225 ms
2019-11-27 16:06:12.242 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8045 ms
2019-11-27 16:06:13.300 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 36.0557 ms
2019-11-27 16:06:13.312 +02:00 [INF] HTTP GET /notification?id=GJDfoxqkgfGJ72r-WtVI5A responded 101 in 1145.1899 ms
2019-11-27 16:06:13.645 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5293 ms
2019-11-27 16:06:14.168 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.488 ms
2019-11-27 16:06:14.183 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.0028 ms
2019-11-27 16:06:14.503 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 34.7971 ms
2019-11-27 16:06:14.520 +02:00 [INF] HTTP GET /notification?id=8kj1HAsgdt1_QxHNjUHGHQ responded 101 in 816.704 ms
2019-11-27 16:06:15.076 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.6051 ms
2019-11-27 16:06:15.164 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.5761 ms
2019-11-27 16:06:15.266 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 3.5723 ms
2019-11-27 16:08:37.483 +02:00 [INF] HTTP GET /notification?id=rJjOxHXYb3nlYoGeVoFn_Q responded 101 in 142336.7382 ms
2019-11-27 16:08:37.629 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 227.5717 ms
2019-11-27 16:08:38.199 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5917 ms
2019-11-27 16:08:38.623 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.752 ms
2019-11-27 16:08:38.643 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.3138 ms
2019-11-27 16:10:40.629 +02:00 [INF] HTTP GET /notification?id=UuP9v68riSNhlgh1YQMyTA responded 101 in 122388.7208 ms
2019-11-27 16:10:40.705 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 297.1256 ms
